test_subject,validation_subject,train_subjects,train_trials,validation_trials,test_trials,epochs_ran,accuracy,macro_f1,balanced_accuracy,recall_ADL,recall_Near_Fall,recall_Fall
sub1,sub2,"['sub3', 'sub4', 'sub5', 'sub6', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,30,0.8833333333333333,0.8626415094339622,0.8527777777777779,0.9583333333333334,0.6,1.0
sub2,sub3,"['sub1', 'sub4', 'sub5', 'sub6', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,31,0.8,0.7826284379865074,0.7916666666666666,0.7083333333333334,0.6666666666666666,1.0
sub3,sub4,"['sub1', 'sub2', 'sub5', 'sub6', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,27,0.6666666666666666,0.5812409812409812,0.6,1.0,0.13333333333333333,0.6666666666666666
sub4,sub5,"['sub1', 'sub2', 'sub3', 'sub6', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,30,0.9,0.8968387486942658,0.8980158730158729,0.875,0.8666666666666667,0.9523809523809523
sub5,sub6,"['sub1', 'sub2', 'sub3', 'sub4', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,41,0.9833333333333333,0.9821551132463967,0.9861111111111112,0.9583333333333334,1.0,1.0
sub6,sub7,"['sub1', 'sub2', 'sub3', 'sub4', 'sub5', 'sub8', 'sub9', 'sub10']",480,60,60,42,0.9666666666666667,0.9700000000000001,0.9682539682539683,1.0,1.0,0.9047619047619048
sub7,sub8,"['sub1', 'sub2', 'sub3', 'sub4', 'sub5', 'sub6', 'sub9', 'sub10']",480,60,60,27,0.9833333333333333,0.981117230527144,0.9841269841269842,1.0,1.0,0.9523809523809523
sub8,sub9,"['sub1', 'sub2', 'sub3', 'sub4', 'sub5', 'sub6', 'sub7', 'sub10']",480,60,60,26,0.9166666666666666,0.9157287157287156,0.9265873015873015,0.875,1.0,0.9047619047619048
sub9,sub10,"['sub1', 'sub2', 'sub3', 'sub4', 'sub5', 'sub6', 'sub7', 'sub8']",480,60,60,39,0.8166666666666667,0.7378351539225422,0.7555555555555555,1.0,0.26666666666666666,1.0
sub10,sub1,"['sub2', 'sub3', 'sub4', 'sub5', 'sub6', 'sub7', 'sub8', 'sub9']",480,60,60,31,1.0,1.0,1.0,1.0,1.0,1.0
