test_subject,validation_subject,train_subjects,train_trials,validation_trials,test_trials,epochs_ran,accuracy,macro_f1,balanced_accuracy,recall_ADL,recall_Near_Fall,recall_Fall
sub1,sub2,"['sub3', 'sub4', 'sub5', 'sub6', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,38,0.55,0.47702127659574467,0.598015873015873,0.041666666666666664,0.8,0.9523809523809523
sub2,sub3,"['sub1', 'sub4', 'sub5', 'sub6', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,17,0.7333333333333333,0.7185185185185187,0.7611111111111111,0.4166666666666667,0.8666666666666667,1.0
sub3,sub4,"['sub1', 'sub2', 'sub5', 'sub6', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,20,0.6666666666666666,0.654079254079254,0.6436507936507937,0.75,0.4666666666666667,0.7142857142857143
sub4,sub5,"['sub1', 'sub2', 'sub3', 'sub6', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,31,0.7666666666666667,0.7534376018246985,0.7638888888888888,0.625,0.6666666666666666,1.0
sub5,sub6,"['sub1', 'sub2', 'sub3', 'sub4', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,27,0.8166666666666667,0.8108765277376094,0.8305555555555556,0.625,0.8666666666666667,1.0
sub6,sub7,"['sub1', 'sub2', 'sub3', 'sub4', 'sub5', 'sub8', 'sub9', 'sub10']",480,60,60,18,0.9,0.8998167582875229,0.9,0.8333333333333334,0.8666666666666667,1.0
sub7,sub8,"['sub1', 'sub2', 'sub3', 'sub4', 'sub5', 'sub6', 'sub9', 'sub10']",480,60,60,30,0.75,0.724830053667263,0.721031746031746,0.7916666666666666,0.4666666666666667,0.9047619047619048
sub8,sub9,"['sub1', 'sub2', 'sub3', 'sub4', 'sub5', 'sub6', 'sub7', 'sub10']",480,60,60,21,0.5833333333333334,0.5637939958592132,0.6218253968253968,0.20833333333333334,0.8,0.8571428571428571
sub9,sub10,"['sub1', 'sub2', 'sub3', 'sub4', 'sub5', 'sub6', 'sub7', 'sub8']",480,60,60,22,0.7,0.5444444444444444,0.625,0.875,0.0,1.0
sub10,sub1,"['sub2', 'sub3', 'sub4', 'sub5', 'sub6', 'sub7', 'sub8', 'sub9']",480,60,60,20,0.7833333333333333,0.7323232323232324,0.736111111111111,0.875,0.3333333333333333,1.0
