test_subject,validation_subject,train_subjects,train_trials,validation_trials,test_trials,epochs_ran,accuracy,macro_f1,balanced_accuracy,recall_ADL,recall_Near_Fall,recall_Fall
sub1,sub2,"['sub3', 'sub4', 'sub5', 'sub6', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,38,0.6833333333333333,0.6732805680174101,0.6619047619047619,0.8333333333333334,0.5333333333333333,0.6190476190476191
sub2,sub3,"['sub1', 'sub4', 'sub5', 'sub6', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,36,0.8,0.8026394210302256,0.7861111111111111,0.9583333333333334,0.7333333333333333,0.6666666666666666
sub3,sub4,"['sub1', 'sub2', 'sub5', 'sub6', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,30,0.65,0.5663503019844693,0.5900793650793651,0.875,0.13333333333333333,0.7619047619047619
sub4,sub5,"['sub1', 'sub2', 'sub3', 'sub6', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,20,0.6166666666666667,0.5549382716049384,0.6722222222222222,0.08333333333333333,0.9333333333333333,1.0
sub5,sub6,"['sub1', 'sub2', 'sub3', 'sub4', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,100,0.85,0.8455242966751918,0.8666666666666667,0.6666666666666666,0.9333333333333333,1.0
sub6,sub7,"['sub1', 'sub2', 'sub3', 'sub4', 'sub5', 'sub8', 'sub9', 'sub10']",480,60,60,84,0.9666666666666667,0.9702380952380952,0.9702380952380952,0.9583333333333334,1.0,0.9523809523809523
sub7,sub8,"['sub1', 'sub2', 'sub3', 'sub4', 'sub5', 'sub6', 'sub9', 'sub10']",480,60,60,100,0.9333333333333333,0.9332453680796086,0.934126984126984,0.9166666666666666,0.9333333333333333,0.9523809523809523
sub8,sub9,"['sub1', 'sub2', 'sub3', 'sub4', 'sub5', 'sub6', 'sub7', 'sub10']",480,60,60,73,0.8833333333333333,0.8798590357445076,0.8884920634920634,0.875,0.9333333333333333,0.8571428571428571
sub9,sub10,"['sub1', 'sub2', 'sub3', 'sub4', 'sub5', 'sub6', 'sub7', 'sub8']",480,60,60,100,0.8666666666666667,0.8566017316017316,0.8555555555555555,0.8333333333333334,0.7333333333333333,1.0
sub10,sub1,"['sub2', 'sub3', 'sub4', 'sub5', 'sub6', 'sub7', 'sub8', 'sub9']",480,60,60,45,0.8,0.8023486901535682,0.7837301587301587,0.875,0.6666666666666666,0.8095238095238095
