test_subject,validation_subject,train_subjects,train_trials,validation_trials,test_trials,epochs_ran,accuracy,macro_f1,balanced_accuracy,recall_ADL,recall_Near_Fall,recall_Fall
sub1,sub2,"['sub3', 'sub4', 'sub5', 'sub6', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,31,0.95,0.9438764145059254,0.9416666666666668,0.9583333333333334,0.8666666666666667,1.0
sub2,sub3,"['sub1', 'sub4', 'sub5', 'sub6', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,40,1.0,1.0,1.0,1.0,1.0,1.0
sub3,sub4,"['sub1', 'sub2', 'sub5', 'sub6', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,31,0.9,0.8893287044547549,0.8984126984126984,1.0,0.9333333333333333,0.7619047619047619
sub4,sub5,"['sub1', 'sub2', 'sub3', 'sub6', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,41,0.9666666666666667,0.9638888888888889,0.9638888888888889,0.9583333333333334,0.9333333333333333,1.0
sub5,sub6,"['sub1', 'sub2', 'sub3', 'sub4', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,36,0.95,0.9474747474747475,0.9583333333333334,0.875,1.0,1.0
sub6,sub7,"['sub1', 'sub2', 'sub3', 'sub4', 'sub5', 'sub8', 'sub9', 'sub10']",480,60,60,41,0.9666666666666667,0.961038961038961,0.9555555555555556,1.0,0.8666666666666667,1.0
sub7,sub8,"['sub1', 'sub2', 'sub3', 'sub4', 'sub5', 'sub6', 'sub9', 'sub10']",480,60,60,32,0.9666666666666667,0.9625,0.9682539682539683,1.0,1.0,0.9047619047619048
sub8,sub9,"['sub1', 'sub2', 'sub3', 'sub4', 'sub5', 'sub6', 'sub7', 'sub10']",480,60,60,28,0.95,0.9440559440559442,0.9523809523809524,1.0,1.0,0.8571428571428571
sub9,sub10,"['sub1', 'sub2', 'sub3', 'sub4', 'sub5', 'sub6', 'sub7', 'sub8']",480,60,60,95,0.8666666666666667,0.8254545454545453,0.8222222222222223,1.0,0.4666666666666667,1.0
sub10,sub1,"['sub2', 'sub3', 'sub4', 'sub5', 'sub6', 'sub7', 'sub8', 'sub9']",480,60,60,38,0.9833333333333333,0.9817030260380014,0.9777777777777779,1.0,0.9333333333333333,1.0
