test_subject,validation_subject,train_subjects,train_trials,validation_trials,test_trials,epochs_ran,accuracy,macro_f1,balanced_accuracy,recall_ADL,recall_Near_Fall,recall_Fall
sub1,sub2,"['sub3', 'sub4', 'sub5', 'sub6', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,40,0.8666666666666667,0.8498521803399851,0.834920634920635,1.0,0.6,0.9047619047619048
sub2,sub3,"['sub1', 'sub4', 'sub5', 'sub6', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,33,0.8833333333333333,0.8854510012404749,0.8698412698412699,1.0,0.8,0.8095238095238095
sub3,sub4,"['sub1', 'sub2', 'sub5', 'sub6', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,29,0.7333333333333333,0.707878787878788,0.7011904761904763,0.875,0.4666666666666667,0.7619047619047619
sub4,sub5,"['sub1', 'sub2', 'sub3', 'sub6', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,32,0.8,0.7788247213779128,0.7833333333333333,0.75,0.6,1.0
sub5,sub6,"['sub1', 'sub2', 'sub3', 'sub4', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,56,0.9333333333333333,0.9303681981101336,0.9361111111111112,0.875,0.9333333333333333,1.0
sub6,sub7,"['sub1', 'sub2', 'sub3', 'sub4', 'sub5', 'sub8', 'sub9', 'sub10']",480,60,60,66,0.9833333333333333,0.9850671976107517,0.9841269841269842,1.0,1.0,0.9523809523809523
sub7,sub8,"['sub1', 'sub2', 'sub3', 'sub4', 'sub5', 'sub6', 'sub9', 'sub10']",480,60,60,52,0.9666666666666667,0.9628449753885294,0.9619047619047619,1.0,0.9333333333333333,0.9523809523809523
sub8,sub9,"['sub1', 'sub2', 'sub3', 'sub4', 'sub5', 'sub6', 'sub7', 'sub10']",480,60,60,31,0.9,0.8979116849992029,0.9107142857142857,0.875,1.0,0.8571428571428571
sub9,sub10,"['sub1', 'sub2', 'sub3', 'sub4', 'sub5', 'sub6', 'sub7', 'sub8']",480,60,60,52,0.9,0.8850931677018634,0.8833333333333333,0.9166666666666666,0.7333333333333333,1.0
sub10,sub1,"['sub2', 'sub3', 'sub4', 'sub5', 'sub6', 'sub7', 'sub8', 'sub9']",480,60,60,37,0.9666666666666667,0.9668649202530517,0.9638888888888889,0.9583333333333334,0.9333333333333333,1.0
